Informe de inventario
Producto        cantidad        Precio Unitario         Valor Total          Ubicación
____________________________________________________________________________________________________
SplitPeasYellowDry           14.80          $10.98              $162.50                   BR
JoltColaRedEye          114.67           $1.59              $182.33                   BR
ChickenThighBoneOut          124.25          $33.32             $4140.01                   BR
TableCloth53x53White          122.24          $89.11            $10892.81                   BR
PepperChiliPowder          121.48          $70.95             $8619.01                   BR
JuicePeachNectar           99.03          $35.13             $3478.92                   BR
BasilSeedlingsCookstown           71.27          $78.49             $5593.98                   BR
SoupCanadianPeaDryMix           86.80          $63.87             $5543.92                   BR
BeerGuiness           89.14          $71.72             $6393.12                   BR
WaterPerrier           34.33          $43.02             $1476.88                   BR
Dates                40.49          $87.52             $3543.68                   BR
BarMixLemon            2.59          $27.34               $70.81                   BR
FoamCup6Oz           88.78           $2.44              $216.62                   BR
MuffinBattBanDreamZero           39.56           $1.52               $60.13                   BR
ChickenBreastHalal           35.06          $96.69             $3389.95                   BR
PotatoSweet           80.17          $81.21             $6510.61                   BR
FoieGras             63.12          $88.64             $5594.96                   US
BeansLongChinese           42.48          $18.28              $776.53                   US
LidTray16inDome          129.79          $64.19             $8331.22                   US
PastaDetaliniWhiteFresh           17.62          $70.94             $1249.96                   US
TeaDecaf1Cup           54.04          $28.47             $1538.52                   US
WinePortLateBottledVintage           79.46          $54.81             $4355.20                   US
MusselsCultivated           84.67          $96.28             $8152.03                   US
WineSavignyLesBeaune           56.00          $86.03             $4817.68                   US
AspicAmber           22.73          $64.97             $1476.77                   US
AllspiceJamaican           36.17          $46.60             $1685.52                   US
BreadPetitBaguette           86.41          $71.11             $6144.62                   US
SalmonCanned           44.42          $97.37             $4325.18                   US
CookiesAssorted           31.28           $4.48              $140.13                   LK
Galliano             93.91          $41.22             $3870.97                   LK
ThymeFresh          102.81          $30.72             $3158.32                   BO
PorkInside           75.56          $76.73             $5797.72                   BO
ChocolateBarReesePieces          100.32          $39.89             $4001.76                   CR
SpicePeppercornMelange           88.71          $31.38             $2783.72                   MX
FoodColouringOrange           45.69          $38.26             $1748.10                   MX
ShrimpBlackTiger13/15           47.30          $86.01             $4068.27                   MX
SquidBreaded          107.42          $39.55             $4248.46                   CA
MuffinMixChocolateChip           28.51           $6.70              $191.02                   CA
OstrichFanFillet           25.08          $81.75             $2050.29                   MA
GingeraleSchweppes355Ml          104.55          $46.87             $4900.26                   KE
VinegarBalsamicWhite           45.81          $67.66             $3099.50                   KE
CheeseHavartiSalsa           65.23          $42.70             $2785.32                   KE
AppetizerCheeseBites          110.01          $44.31             $4874.54                   ID
SherbetRaspberry           40.72           $4.13              $168.17                   ID
PorkSucklingPig           80.61          $88.08             $7100.13                   ID
BagelersCinnBrown           12.53          $74.28              $930.73                   KH
Shrimp               74.74          $93.95             $7021.82                   VE
VodkaMoskovskaya           80.78          $37.80             $3053.48                   VE
WineClavetSaintEmilion           16.92          $17.21              $291.19                   VE
CheeseStilton          105.31          $80.97             $8526.95                   FI
